zip,city,street,state,visited
28332,DUBLIN,86 Third St,NC,false
28333,DUDLEY,4219 S U.S. 117 Alt Hwy,NC,false
28334,DUNN,1115 S CLINTON AVE,NC,true
27701,DURHAM,323 E CHAPEL HILL ST,NC,false
27242,EAGLE SPRINGS,1984 North Carolina 211,NC,true
28038,EARL,2719 Blacksburg Rd,NC,false
27018,EAST BEND,448 E Main St,NC,false
28726,EAST FLAT ROCK,125 W Blue Ridge Rd,NC,false
28039,EAST SPENCER,209 S Long St,NC,false
27288,EDEN,332 N PIERCE ST,NC,true
27932,EDENTON,100 N BROAD ST,NC,false
28727,EDNEYVILLE,3979 Chimney Rock Rd,NC,false
27821,EDWARD,19160 NC-33,NC,false
27243,EFLAND,3522 US Hwy 70 W,NC,true
27909,ELIZABETH CITY,1001 W Ehringhaus St,NC,false
28337,ELIZABETHTOWN,209 S Poplar St,NC,false
28622,ELK PARK,153 Main St,NC,false
28621,ELKIN,213 W MAIN ST,NC,true
28040,ELLENBORO,131 Depot St,NC,false
28338,ELLERBE,268 2nd St,NC,false
27822,ELM CITY,409 W MAIN ST,NC,true
27244,ELON,105 S Williamson Ave,NC,true
28594,EMERALD ISLE,142 Eastview Dr,NC,false
27823,ENFIELD,114 S Dennis St,NC,true
27824,ENGELHARD,34668 US Highway 264,NC,false
28728,ENKA,1572 Sand Hill Rd,NC,false
28623,ENNICE,2529 Barrett Rd,NC,false
28527,ERNUL,1000 Hills Neck Rd,NC,true
28339,ERWIN,904 S 13th St,NC,true
27247,ETHER,105 Hogan Farm Rd,NC,false
28729,ETOWAH,123 Etowah Center Dr,NC,false
27935,EURE,1203 NC-137,NC,false
27825,EVERETTS,106 N Broad St,NC,false
28438,EVERGREEN,7553 Old Hwy 74,NC,false
28439,FAIR BLUFF,1115 Main St,NC,false
27826,FAIRFIELD,7089 NC-94,NC,false
28340,FAIRMONT,100 N Walnut St,NC,false
28730,FAIRVIEW,1352 Charlotte Hwy,NC,false
28341,FAISON,110 E Main St,NC,false
28041,FAITH,1027 Gantt St,NC,false
28342,FALCON,7175 S West St,NC,true
27827,FALKLAND,6063 NC-43 N,NC,false
28042,FALLSTON,771 E Stagecoach Trail,NC,false
27828,FARMVILLE,3703 N Main St,NC,true
28302,FAYETTEVILLE,6380 CLIFFDALE RD,NC,false
28624,FERGUSON,12650 W NC-268,NC,false
28731,FLAT ROCK,2687 Greenville Hwy,NC,false
28626,FLEETWOOD,910 Railroad Grade Rd,NC,false
28732,FLETCHER,3616 Hendersonville Rd,NC,false
28733,FONTANA DAM,50 Fontana Rd,NC,false
28043,FOREST CITY,133 S Powell St,NC,false
27829,FOUNTAIN,6738 E Wilson St,NC,true
27524,FOUR OAKS,107 N Railroad St,NC,true
28734,FRANKLIN,250 DEPOT ST,NC,false
27525,FRANKLINTON,320 S Main St,NC,true
27248,FRANKLINVILLE,221 Pine St,NC,true
27830,FREMONT,115 E Main St,NC,false
